Age,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
30,879926,885293,888359,890824,893441,898388,904469,911632,917603,922181,925753,928392,934361,939539,943155,945600,950149,952539,951135,947455,943174,940080,937859,930547,929634,945552,957287,908598,869232,834830,810055,800080,792001,785417,779406,773882,768815,764189,759878,755819,752213,749142,745885,741870,737323,732712,728418
31,867377,874833,881064,884154,886644,889282,894237,900318,907475,913442,918020,921592,924235,930195,935371,938996,941461,946026,948442,947082,943454,939229,936185,934011,926766,925894,941784,953506,905036,865843,831585,806905,796956,788935,782383,776401,770904,765862,761259,756970,752931,749343,746288,743048,739053,734527,729937
32,851785,862671,870896,877142,880257,882772,885431,890396,896480,903632,909598,914177,917752,920400,926353,931529,935164,937650,942231,944673,943355,939777,935605,932609,930480,923299,922466,938332,950044,901776,862742,828617,804025,794101,786133,779611,773657,768185,763167,758586,754317,750297,746727,743687,740463,736486,731979
33,834104,847434,858989,867225,873487,876627,879167,881849,886824,892913,900063,906029,910611,914191,916845,922794,927971,931618,934125,938722,941190,939913,936383,932262,929312,927226,920105,919310,935156,946860,898779,859893,825891,801381,791480,783562,777069,771141,765693,760697,756138,751888,747886,744333,741307,738098,734138
34,813423,830073,843977,855534,863782,870060,873226,875792,878496,883483,889578,896729,902697,907284,910869,913532,919478,924658,928318,930846,935460,937954,936716,933233,929160,926255,924210,917146,916388,932217,943915,896008,857260,823373,798940,789061,781191,774725,768822,763397,758423,753884,749652,745668,742130,739118,735923
35,793473,809680,826810,840710,852270,860531,866826,870018,872610,875338,880338,886440,893593,899565,904159,907751,910423,916369,921553,925227,927776,932408,934928,933728,930291,926264,923402,921397,914387,913665,929479,941173,893429,854812,821032,796672,786815,778990,772550,766671,761269,756316,751796,747582,743615,740092,737093
36,775675,789972,806587,823702,837600,849164,857439,863752,866971,869589,872341,877355,883466,890623,896600,901202,904803,907485,913433,918623,922311,924882,929532,932078,930915,927523,923540,920720,918754,911796,911109,926911,938602,891012,852518,818840,794549,784714,776932,770518,764663,759283,754350,749848,745652,741701,738193
37,756033,772368,787015,803619,820721,834617,846186,854476,860808,864054,866699,869475,874504,880625,887787,893772,898383,901994,904688,910639,915836,919539,922132,926801,929373,928247,924897,920959,918180,916251,909344,908691,924482,936171,888729,850352,816771,792547,782734,774993,768604,762773,757414,752501,748018,743839,739904
38,735600,752894,769513,784154,800747,817839,831734,843309,851614,857966,861239,863911,866712,871757,877889,885058,891051,895673,899295,902003,907958,913164,916883,919498,924186,926784,925695,922386,918492,915753,913861,907004,906384,922166,933854,886553,848289,814802,790643,780852,773151,766787,760979,755642,750748,746284,742122
39,714996,732601,750124,766729,781366,797948,815030,828925,840506,848827,855199,858500,861200,864027,869089,875233,882410,888412,893046,896681,899403,905364,910580,914316,916954,921662,924286,923233,919965,916114,913414,911559,904751,904163,919937,931626,884462,846308,812912,788816,779047,771386,765046,759261,753946,749072,744627
40,692910,712111,729898,747403,763995,778627,795200,812271,826167,837755,846092,852484,855814,858542,861395,866474,872632,879818,885831,890478,894127,896865,902834,908061,911815,914476,919204,921855,920837,917610,913802,911141,909323,902563,902007,917774,929464,882434,844386,811081,787047,777301,769679,763364,757602,752308,747456
41,671080,690120,709456,727223,744711,761290,775918,792481,809542,823439,835034,843387,849800,853159,855915,858795,863893,870065,877261,883286,887947,891612,894367,900345,905584,909356,912041,916790,919468,918486,915300,911535,908913,907131,900419,899895,915656,927348,880449,842507,809291,785319,775598,768014,761724,755986,750714
42,649196,668360,687500,706810,724559,742029,758595,773219,789773,806823,820721,832324,840693,847127,850516,853301,856208,861326,867513,874720,880758,885434,889116,891889,897878,903130,906921,909631,914401,917106,916161,913017,909293,906711,904965,898301,897809,913565,925260,878492,840655,807527,783618,773922,766376,760112,754398
43,626452,646528,665761,684875,704158,721888,739340,755894,770513,787058,804097,817996,829607,837993,844448,847867,850682,853617,858755,864958,872177,878230,882922,886622,889415,895415,900682,904493,907229,912020,914753,913845,910742,907061,904518,902810,896194,895735,911486,923184,876546,838815,805775,781930,772261,764753,758516
44,603498,623823,643937,663143,682230,701486,719196,736629,753170,767785,784320,801348,815247,826867,835270,841748,845197,848043,851007,856166,862386,869618,875686,880396,884115,886929,892942,898225,902057,904819,909633,912394,911523,908463,904826,902322,900652,894084,893659,909405,921107,874600,836975,804026,780245,770605,763135
45,579445,600895,621234,641315,660493,679552,698781,716470,733884,750412,765022,781546,798563,812463,824091,832511,839012,842492,845370,848364,853545,859783,867029,873113,877842,881582,884418,890445,895745,899600,902389,907226,910016,909184,906168,902575,900112,898481,891962,891571,907312,919019,872646,835128,802270,778555,768946
46,555241,576859,598302,618603,638650,657799,676829,696030,713698,731094,747608,762212,778726,795732,809632,821268,829706,836231,839743,842653,845678,850882,857139,864400,870502,875251,879013,881873,887915,893233,897112,899930,904791,907611,906819,903847,900300,897879,896287,889819,889463,905200,916913,870676,833267,800502,776854
47,530865,552663,574263,595659,615922,635933,655052,674053,693225,710871,728247,744747,759346,775849,792844,806745,818389,826846,833395,836940,839884,842941,848169,854446,861724,867844,872615,876400,879286,885344,890682,894586,897434,902320,905172,904420,901495,897994,895617,894065,887650,887330,903064,914784,868685,831388,798718
48,506481,528287,550061,571609,592958,613181,633155,652243,671214,690356,707980,725336,741821,756415,772907,789890,803792,815445,823921,830495,834075,837054,840144,845398,851696,858991,865132,869926,873735,876648,882724,888083,892014,894893,899806,902691,901982,899105,895653,893321,891812,885450,885168,900900,912628,866669,829487
49,482156,503897,525678,547393,568888,590188,610370,630306,649362,668302,687413,705014,722350,738821,753410,769891,786862,800765,812428,820924,827525,831140,834156,837281,842562,848882,856196,862358,867177,871012,873954,880049,885431,889390,892302,897244,900164,899499,896672,893271,890986,889521,883215,882973,898704,910442,864626
50,459008,479560,501280,522996,544650,566090,587339,607479,627376,646399,665308,684387,701965,719280,735736,750320,766790,783749,797654,809327,817845,824473,828126,831180,834342,839651,845995,853329,859514,864359,868222,871194,877310,882716,886705,889653,894625,897582,896964,894189,890841,888605,887187,880939,880739,896471,908219
51,435580,456391,476931,498580,520229,541820,563203,584400,604496,624353,643342,662219,681265,698819,716113,732555,747134,763593,780541,794448,806132,814673,821330,825022,828116,831316,836655,843025,850380,856589,861462,865354,868358,874496,879928,883949,886935,891939,894935,894367,891646,888354,886170,884801,878614,878458,894193
52,414303,432942,453742,474211,495787,517366,538892,560216,581358,601409,621225,640178,659022,678034,695564,712836,729262,743836,760284,777221,791130,802826,811391,818079,821812,824948,828189,833559,839956,847334,853569,858471,862395,865433,871595,877055,881110,884135,889174,892212,891695,889032,885799,883669,882352,876229,876119
53,394134,411628,430271,450991,471386,492885,514392,535850,557112,578198,598201,617974,636890,655699,674676,692181,709430,725840,740409,756847,773772,787684,799393,807983,814702,818478,821659,824942,830345,836771,844173,850436,855369,859326,862400,868588,874078,878169,881236,886312,889394,888931,886330,883159,881086,879823,873767
54,376767,391415,408919,427489,448124,468442,489860,511292,532679,553876,574902,594856,614582,633460,652232,671172,688651,705876,722269,736833,753259,770172,784087,795809,804426,811179,815000,818227,821555,826993,833449,840876,847168,852134,856126,859238,865454,870975,875105,878216,883331,886460,886056,883518,880413,878400,877194
55,360079,373983,388657,406087,424580,445127,465363,486696,508048,529360,550488,571451,591352,611030,629867,648599,667500,684951,702150,718525,733083,749496,766396,780314,792049,800694,807482,811350,814626,818001,823476,829964,837418,843740,848741,852771,855922,862167,867722,871892,875050,880207,883385,883043,880573,877535,875587
56,343920,357224,371152,385765,403116,421526,441980,462128,483371,504637,525868,546922,567818,587663,607289,626082,644772,663632,681052,698223,714579,729130,745529,762414,776335,788084,796758,803583,807501,810828,814252,819766,826288,833771,840125,845163,849233,852427,858702,864293,868506,871714,876915,880145,879869,877470,874504
